"id","building_id","local_id","street","x","y","zipcode"
1,"1","",Abelsvej,12.47316708,55.75478489,2880
2,"2","",Abelsvej,12.47349181,55.75479872,2880
3,"3","",Abelsvej,12.47308649,55.75478222,2880
4,"4","",Abelsvej,12.47357366,55.75480117,2880
5,"5","",Abelsvej,12.47300145,55.75477977,2880
6,"6","",Abelsvej,12.47366143,55.75480381,2880
7,"7","",Abelsvej,12.47312527,55.75492067,2880
8,"8","",Abelsvej,12.47374728,55.75480641,2880
9,"9","",Abelsvej,12.47311993,55.75496821,2880
10,"11","",Abelsvej,12.47311475,55.75501574,2880
11,"13","",Abelsvej,12.47310927,55.75506337,2880
12,"15","",Abelsvej,12.47310409,55.7551109,2880
13,"17","",Abelsvej,12.47309876,55.75515852,2880
14,"18","",Abelsvej,12.47381505,55.7553064,2880
15,"19","",Abelsvej,12.47309358,55.75520606,2880
16,"20","",Abelsvej,12.47381267,55.75536392,2880
17,"21","",Abelsvej,12.47308825,55.75525368,2880
18,"22","",Abelsvej,12.47380777,55.75540919,2880
19,"23","",Abelsvej,12.47308307,55.75530121,2880
20,"24","",Abelsvej,12.47381656,55.75545597,2880
21,"25","",Abelsvej,12.47306705,55.75542934,2880
22,"27","",Abelsvej,12.47306148,55.75548147,2880
23,"28","",Abelsvej,12.47362631,55.75560602,2880
24,"29","",Abelsvej,12.47305608,55.75553368,2880
25,"31","",Abelsvej,12.47305036,55.7555859,2880
26,"33","",Abelsvej,12.47304495,55.75563803,2880
27,"35","",Abelsvej,12.4730394,55.75569024,2880
28,"37","",Abelsvej,12.47303399,55.75574237,2880
29,"16","",Abelsvej,12.47382288,55.75525285,2880
30,"14","",Abelsvej,12.47382792,55.75520551,2880
31,"10","",Abelsvej,12.47383914,55.75510053,2880
32,"12","",Abelsvej,12.47383331,55.755155,2880
33,"1","",Ahornkrogen,12.46177412,55.76256725,2880
34,"2","",Ahornkrogen,12.4613554,55.76253536,2880
35,"3","",Ahornkrogen,12.46178645,55.76250127,2880
36,"4","",Ahornkrogen,12.46136927,55.76247059,2880
37,"5","",Ahornkrogen,12.46180404,55.76243531,2880
38,"6","",Ahornkrogen,12.46138461,55.76240443,2880
39,"7","",Ahornkrogen,12.46181838,55.76236864,2880
40,"8","",Ahornkrogen,12.46140165,55.76233768,2880
41,"9","",Ahornkrogen,12.4618355,55.76230279,2880
42,"10","",Ahornkrogen,12.46141735,55.76227196,2880
43,"11","",Ahornkrogen,12.46185244,55.76223659,2880
44,"12","",Ahornkrogen,12.46143353,55.76220623,2880
45,"13","",Ahornkrogen,12.46186784,55.76217115,2880
46,"14","",Ahornkrogen,12.46145098,55.76214046,2880
47,"15","",Ahornkrogen,12.46188368,55.76210515,2880
48,"16","",Ahornkrogen,12.46146628,55.76207385,2880
49,"17","",Ahornkrogen,12.46189447,55.76204173,2880
50,"18","",Ahornkrogen,12.4614665,55.76200623,2880
51,"19","",Ahornkrogen,12.46190801,55.76197319,2880
52,"20","",Ahornkrogen,12.46149063,55.76194019,2880
53,"21","",Ahornkrogen,12.46193375,55.76190566,2880
54,"22","",Ahornkrogen,12.4615128,55.76187554,2880
55,"23","",Ahornkrogen,12.46168487,55.76185945,2880
56,"1","",Aldershvilevej,12.47480893,55.76445494,2800
57,"2","",Aldershvilevej,12.47433769,55.7645608,2800
58,"3","",Aldershvilevej,12.47511904,55.76400991,2800
59,"4","",Aldershvilevej,12.47395867,55.76437165,2800
60,"5","",Aldershvilevej,12.47454071,55.76407905,2800
61,"6A","",Aldershvilevej,12.47378698,55.76415919,2800
62,"6B","",Aldershvilevej,12.47325877,55.76432564,2800
63,"7","",Aldershvilevej,12.47413877,55.76391896,2800
64,"8","1",Aldershvilevej,12.4733506,55.76399377,2800
65,"10","",Aldershvilevej,12.4730873,55.7639221,2800
66,"12","",Aldershvilevej,12.47284346,55.76378046,2800
67,"13","",Aldershvilevej,12.47270465,55.76338193,2800
68,"2A","",Aldershvilevej,12.47398358,55.76464968,2800
69,"11","",Aldershvilevej,12.47314731,55.76358754,2800
70,"8",st,Aldershvilevej,12.4733506,55.76399377,2800
71,"16","",Aldershvilevej,12.47180485,55.76368252,2880
72,"17A","",Aldershvilevej,12.47169634,55.76328205,2880
73,"17B","",Aldershvilevej,12.47176782,55.76295616,2880
74,"18","",Aldershvilevej,12.47142828,55.76375907,2880
75,"19A","",Aldershvilevej,12.47137432,55.76324036,2880
76,"19B","",Aldershvilevej,12.47141593,55.76293896,2880
77,"20","",Aldershvilevej,12.47104427,55.76363011,2880
78,"21A","",Aldershvilevej,12.47105919,55.76304471,2880
79,"21B","",Aldershvilevej,12.47110635,55.76286499,2880
80,"22","",Aldershvilevej,12.47097939,55.76391553,2880
81,"23A","",Aldershvilevej,12.47064123,55.76326369,2880
82,"23B","",Aldershvilevej,12.47078953,55.76284221,2880
83,"25A","",Aldershvilevej,12.47036131,55.76287589,2880
84,"25B","",Aldershvilevej,12.4703093,55.76316976,2880
85,"26","",Aldershvilevej,12.47010362,55.76349306,2880
86,"27A","",Aldershvilevej,12.46995466,55.7631449,2880
87,"27B","",Aldershvilevej,12.47007818,55.76273158,2880
88,"28A","",Aldershvilevej,12.46964406,55.76377876,2880
89,"28B","",Aldershvilevej,12.46961042,55.76360312,2880
90,"29A","",Aldershvilevej,12.46966328,55.7628308,2880
91,"29B","",Aldershvilevej,12.46956983,55.76319678,2880
92,"30","",Aldershvilevej,12.46913023,55.76394379,2880
93,"31A","",Aldershvilevej,12.46936459,55.76296359,2880
94,"32A","",Aldershvilevej,12.469145,55.76372066,2880
95,"32B","",Aldershvilevej,12.4691405,55.76341886,2880
96,"33A","",Aldershvilevej,12.46891827,55.76309318,2880
97,"33B","",Aldershvilevej,12.46901291,55.76266162,2880
98,"35A","",Aldershvilevej,12.46869709,55.76260706,2880
99,"35B","",Aldershvilevej,12.46856077,55.76296625,2880
100,"36","",Aldershvilevej,12.46845199,55.7635115,2880
101,"37","",Aldershvilevej,12.46837196,55.76252489,2880
102,"38","",Aldershvilevej,12.46836281,55.76393643,2880
103,"39","",Aldershvilevej,12.46824345,55.76300066,2880
104,"40","",Aldershvilevej,12.46802691,55.76416747,2880
105,"41A","",Aldershvilevej,12.46802703,55.76254821,2880
106,"41B","",Aldershvilevej,12.46787069,55.76302495,2880
107,"42A","",Aldershvilevej,12.46806314,55.76374601,2880
108,"42B","",Aldershvilevej,12.46813925,55.763436,2880
109,"43A","",Aldershvilevej,12.46752961,55.76302361,2880
110,"43B","",Aldershvilevej,12.46764398,55.76249439,2880
111,"45A","",Aldershvilevej,12.46720591,55.76299697,2880
112,"45B","",Aldershvilevej,12.46723602,55.76251913,2880
113,"47A","",Aldershvilevej,12.46682523,55.76291232,2880
114,"47B","",Aldershvilevej,12.46694819,55.76249596,2880
115,"49A","",Aldershvilevej,12.46658877,55.76256447,2880
116,"49B","",Aldershvilevej,12.46644942,55.76282331,2880
117,"50","",Aldershvilevej,12.46658139,55.7632731,2880
118,"51","",Aldershvilevej,12.46613809,55.76291266,2880
119,"53","",Aldershvilevej,12.46624971,55.76251928,2880
