"id","category","description","name","price","restaurant_id"
2,Take Out Starters,"",Pepper Masala Dosa,110.0,1
3,Decaf,"",Chees Masala Dosa,240.0,1
4,BURRITO BOWLS,"",Kesari Bath,250.0,1
5,Take Out Starters,"",Idli [2 Pieces],170.0,1
6,Bun Burgers,"",Idly Vada,100.0,1
7,Decaf,"",Single Idly Vada,200.0,1
8,BURRITO BOWLS,"",Vada [1 Piece],50.0,1
9,Loaded Fries,"",Rava Idly,130.0,1
10,Loaded Fries,"",Poori Sagu,70.0,1
11,Take Out Starters,"",Rice Bath,160.0,1
12,Bun Burgers,"",Masala Dosa,80.0,1
13,BURRITO BOWLS,"",Plain Dosa,200.0,1
14,Loaded Fries,"",Set Dosa,210.0,1
15,Loaded Fries,"",Onion Dosa,100.0,1
16,Decaf,"",Butter Plain Dosa,70.0,1
17,Take Out Starters,"",Butter Masala Dosa,210.0,1
18,Loaded Fries,"",Pepper Plain Dosa,130.0,1
19,Take Out Starters,"",Pepper Masala Dosa,130.0,1
20,Decaf,"",Rava Dosa,80.0,1
21,Loaded Fries,"",Rava Masala Dosa,190.0,1
22,Loaded Fries,"",Rava Onion Dosa,90.0,1
23,Loaded Fries,"",Chees Masala Dosa,220.0,1
24,Bun Burgers,"",Special Dosa,30.0,1
25,Decaf,"",Coffee,150.0,1
26,Take Out Starters,"",Tea,250.0,1
27,Loaded Fries,"",Milk,30.0,1
28,Decaf,"",Hot Badam Milk,170.0,1
29,BURRITO BOWLS,"",Horlicks,90.0,1
30,Early Dinner,"",Idli,110.0,2
31,Early Dinner,"",Idli Vada [1],130.0,2
32,Salads,"",Rice Bath,250.0,2
33,Early Dinner,"",Masala Dosa,160.0,2
34,Early Dinner,"",Butter Masala Dosa,160.0,2
35,Early Dinner,"",Idli,230.0,2
36,Early Dinner,"",Rava Idli,180.0,2
37,Early Dinner,"",Vada,210.0,2
38,Salads,"",Idli Vada [1],180.0,2
39,PO’ BOY SPECIALTIES,"",Idli Vada [2],190.0,2
40,Early Dinner,"",Khara Bath,200.0,2
41,Early Dinner,"",Kesari Bath,200.0,2
42,PO’ BOY SPECIALTIES,"",Chow Chow Bath,90.0,2
43,Salads,"",Rice Bath,140.0,2
44,Salads,"",Curd Vada,50.0,2
45,PO’ BOY SPECIALTIES,"",Poori,200.0,2
46,PO’ BOY SPECIALTIES,"",Bonda Soup,240.0,2
47,PO’ BOY SPECIALTIES,"",Bajji,50.0,2
48,Salads,"",Pakoda,190.0,2
49,Early Dinner,"",Tattle Idli,160.0,2
50,Early Dinner,"",Parotta,110.0,2
51,Early Dinner,"",Plain Dosa,190.0,2
52,Early Dinner,"",Masala Dosa,40.0,2
53,Early Dinner,"",Onion Dosa,160.0,2
54,Early Dinner,"",Rava Dosa,240.0,2
55,Salads,"",Paper Plain Dosa,240.0,2
56,PO’ BOY SPECIALTIES,"",Paper Masala Dosa,130.0,2
57,PO’ BOY SPECIALTIES,"",Butter Masala Dosa,210.0,2
58,PO’ BOY SPECIALTIES,"",Set Dosa,100.0,2
59,Salads,"",Rava Onion Dosa,200.0,2
60,PO’ BOY SPECIALTIES,"",Rava Onion Masala Dosa,170.0,2
61,PO’ BOY SPECIALTIES,"",Cheese Plain Dosa,70.0,2
62,Salads,"",Cheese Masala Dosa,210.0,2
63,Salads,"",Spring Dosa,30.0,2
64,Early Dinner,"",Open Dosa,20.0,2
65,Salads,"",Buttter Open Dosa,180.0,2
66,PO’ BOY SPECIALTIES,"",Kali Dosa,90.0,2
67,Early Dinner,"",Family Masala Dosa,130.0,2
68,Salads,"",Family Plain Dosa,250.0,2
69,Salads,"",Coffee,70.0,2
70,Early Dinner,"",Tea,190.0,2
71,Salads,"",Milk,140.0,2
72,Early Dinner,"",Badam Milk,230.0,2
73,Early Dinner,"",Shunti Coffee,200.0,2
74,Early Dinner,"",Lime Tea,20.0,2
75,Early Dinner,"",Holicks,90.0,2
76,PO’ BOY SPECIALTIES,"",Bournvita,120.0,2
77,Hummus Dips,"",Butter Masala Dosa,20.0,3
78,Dinner Sashimi ,"",Poori [3 Pieces],50.0,3
79,Hummus Dips,"",Mangalore Buns,110.0,3
80,Dinner Sashimi ,"","2 Cup Idly",160.0,3
81,Dinner Sashimi ,"","2 Idly 1 Vada",190.0,3
82,Dinner Sashimi ,"",Single Idly Vada,40.0,3
83,Hummus Dips,"","2 Idli",90.0,3
84,Hummus Dips,"",Rava Idli,200.0,3
85,Dinner Sashimi ,"",Vada,150.0,3
86,Dinner Sashimi ,"",Curd Vada,130.0,3
87,Dinner Sashimi ,"",Thatte Idli,60.0,3
88,Hummus Dips,"",Khara Bhath,70.0,3
89,Dinner Sashimi ,"",Bisi Bele Bhath,250.0,3
90,Dinner Sashimi ,"",Pongal,30.0,3
91,Hummus Dips,"",Kesari Bhath,100.0,3
92,Dinner Sashimi ,"",Chow Chow Bhath,220.0,3
93,Hummus Dips,"",Akki Rotti,130.0,3
94,Hummus Dips,"",Ragi Dosa,240.0,3
95,Hummus Dips,"",Mallige Dosa,190.0,3
96,Hummus Dips,"",Cheese Masala Dosa,170.0,3
97,Hummus Dips,"",Butter Plain Dosa,180.0,3
98,Hummus Dips,"",Plain Dosa,100.0,3
99,Hummus Dips,"",Onion Dosa,20.0,3
100,Dinner Sashimi ,"",Rava Dosa,50.0,3
101,Hummus Dips,"",Paper Plain Dosa,180.0,3
102,Dinner Sashimi ,"",Paper Masala Dosa,170.0,3
103,Hummus Dips,"",Butter Masala Dosa,220.0,3
104,Dinner Sashimi ,"",Rava Onion Dosa,220.0,3
105,Dinner Sashimi ,"",Cheese Plain Dosa,200.0,3
106,Dinner Sashimi ,"",Open Dosa,60.0,3
107,Hummus Dips,"",Poori [3 Pieces],160.0,3
108,Dinner Sashimi ,"",Coffee,70.0,3
109,Hummus Dips,"",Tea,130.0,3
110,Hummus Dips,"",Milk,210.0,3
111,Dinner Sashimi ,"",Hot Badam Milk,140.0,3
112,Dinner Sashimi ,"",Horlicks,250.0,3
113,Hummus Dips,"",Bournvita,140.0,3
114,Dinner Sashimi ,"",Shunti Coffee,30.0,3
115,Hummus Dips,"",Lemon Tea,120.0,3
116,Signature Milk Tea,"",Chole Bhature [2 Pieces],140.0,4
117,Signature Milk Tea,"",Salted French Fries,70.0,4
118,Signature Milk Tea,"",Gobi Pakora [8 Pieces],210.0,4
119,Signature Milk Tea,"",Punjabi Style Spicy French Fries,30.0,4
120,Signature Milk Tea,"",Dil E Punjab Veg Cutlet [4 Pieces],130.0,4
121,Signature Milk Tea,"",Cheese Pataka Ball [10 Pieces],180.0,4
122,Signature Milk Tea,"",Veg Cheese Sticks [8 Pieces],220.0,4
123,Signature Milk Tea,"",Kalmi Punjabi Sticks [8 Pieces],150.0,4
124,Signature Milk Tea,"",Paneer Pakora [8 Pieces],220.0,4
125,Signature Milk Tea,""," ""Kapoors Special Veg Kabab [4 Pieces]""",140.0,4
126,Signature Milk Tea,"",Puri Aloo [4 Pieces],60.0,4
127,Signature Milk Tea,"",Puri Chole [4 Pieces],50.0,4
128,Signature Milk Tea,"",Kachori Aloo [4 Pieces],40.0,4
129,Signature Milk Tea,"",Kachori Chole [4 Pieces],130.0,4
130,Signature Milk Tea,"",Chole Bhature [2 Pieces],60.0,4
131,Signature Milk Tea,"",Dilli Style Pindi Chole Bhature [2 Pieces],240.0,4
132,Signature Milk Tea,"",Curd,140.0,4
133,Signature Milk Tea,"",Masala Curd with Pudina,40.0,4
134,Signature Milk Tea,"",Boondi Raita,130.0,4
135,Signature Milk Tea,"",Aloo Dhaniya Raita,200.0,4
136,Signature Milk Tea,"",Mixed Raita,110.0,4
137,Signature Milk Tea,"",Kheera Raita,180.0,4
138,Signature Milk Tea,"",Roasted Lijjat Papad,150.0,4
139,Signature Milk Tea,"",Fried Lijjat Papad,140.0,4
140,Signature Milk Tea,"",Roasted Lijjat Masala Papad,240.0,4
141,Signature Milk Tea,"",Fried Lijjat Masala Papad,80.0,4
142, Family Pack Biryanis,"","2 Idly",200.0,5
143, Family Pack Biryanis,"",Vada,170.0,5
144, Family Pack Biryanis,"",Masala Dosa,220.0,5
145,Boneless Wings,"","3 Set Dosa",170.0,5
146, Family Pack Biryanis,"",Veg Grilled Sandwich,40.0,5
147, Family Pack Biryanis,"",Veg Grilled Sandwich,80.0,5
148,Boneless Wings,"",Paneer Grilled Sandwich,230.0,5
149,Boneless Wings,"",Cheese Grilled Sandwich,240.0,5
150, Family Pack Biryanis,"",Tomato Capsicum Grilled Sandwich,40.0,5
151,Boneless Wings,"",Aloo Matar Grilled Sandwich,100.0,5
152,Boneless Wings,"",Mushroom Grilled Sandwich,160.0,5
153, Family Pack Biryanis,"",Baby Corn Grilled Sandwich,240.0,5
154, Family Pack Biryanis,"",SLV Special Grilled Sandwich,40.0,5
155, Family Pack Biryanis,"","2 Idly",150.0,5
156, Family Pack Biryanis,"",Vada,130.0,5
157,Boneless Wings,"",Rava Idly,100.0,5
158,Boneless Wings,"",Kharabath,180.0,5
159,Boneless Wings,"",Kesaribath,220.0,5
160, Family Pack Biryanis,"","3 Poori",100.0,5
161, Family Pack Biryanis,"",Ricebath,190.0,5
162, Family Pack Biryanis,"",Curd Vada,170.0,5
163,Boneless Wings,"",Plain Dosa,20.0,5
164, Family Pack Biryanis,"",Masala Dosa,160.0,5
165, Family Pack Biryanis,"","3 Set Dosa",130.0,5
166, Family Pack Biryanis,"",Onion Dosa,150.0,5
167,Boneless Wings,"",Paper Plain Dosa,160.0,5
168, Family Pack Biryanis,"",Paper Masala Dosa,140.0,5
169,Boneless Wings,"",Rava Dosa,190.0,5
170,Boneless Wings,"",Rava Masala Dosa,210.0,5
171, Family Pack Biryanis,"",Rava Onion Dosa,90.0,5
172,Boneless Wings,"",Rava Onion Masala Dosa,250.0,5
173, Family Pack Biryanis,"",Sagu Masala Dosa,140.0,5
174,Boneless Wings,""," ""Todays Special Dosa""",230.0,5
175,Boneless Wings,"",Basundi,190.0,5
176,Boneless Wings,"",Rasmalai,220.0,5
177, Family Pack Biryanis,"",Gulab Jamoon,70.0,5
178,Boneless Wings,"",Badam Halva,250.0,5
179, Family Pack Biryanis,"",Fruit Salad,220.0,5
180,Boneless Wings,"",Fruit Salad with Vanilla Ice Cream,170.0,5
181,Boneless Wings,"",Fruit Salad with Jelly,240.0,5
182, Family Pack Biryanis,"",Watermelon Juice,60.0,5
183,Boneless Wings,"",Fresh Lime Juice,100.0,5
184, Family Pack Biryanis,"",Lime Pudina Juice,20.0,5
185,Blended Whole Lemon (Large Size Only),"",Mysore Tatte Idly,50.0,6
186,Dinner Street Food,"",Cup Idly [2 Pieces],200.0,6
187,Dinner Street Food,"",Single Idly Vada,120.0,6
188,PO’ BOY SPECIALTIES,"",Mallige Idly [3 Pieces],70.0,6
189,Dinner Street Food,"",Bansi Rava Idly,190.0,6
190,Dinner Street Food,"",Button Idly,60.0,6
191,PO’ BOY SPECIALTIES,"",Medu Vada [1 Piece],130.0,6
192,PO’ BOY SPECIALTIES,"",Curd Vada,30.0,6
193,Dinner Street Food,"",Mini Khara Rice Bath,160.0,6
194,PO’ BOY SPECIALTIES,"",Mini Kesari Rice Bath,200.0,6
195,PO’ BOY SPECIALTIES,"",Mini Chow Chow Rice Bath,160.0,6
196,Dinner Street Food,"",Plain Dosa,60.0,6
197,PO’ BOY SPECIALTIES,"","2 Mini Masala Dosa",180.0,6
198,Dinner Street Food,"","2 Mini Sagu Dosa",80.0,6
199,Blended Whole Lemon (Large Size Only),"","3 Mini Set Dosa",60.0,6
200,Special,"",Onion Dosa,90.0,6
201,Dinner Street Food,"",Butter Khali Dosa,240.0,6
202,PO’ BOY SPECIALTIES,"",Menthya Dosa,240.0,6
203,Special,"",Ragi Dosa,120.0,6
204,Blended Whole Lemon (Large Size Only),"",Fruit Salad,60.0,6
205,Special,"",Butter Milk,250.0,6
206,Blended Whole Lemon (Large Size Only),"",Sweet Lassi,70.0,6
207,Dinner Street Food,"",Salt Lassi,40.0,6
208,Blended Whole Lemon (Large Size Only),"",Masala Lassi,220.0,6
209,Special,"",Lemon Juice,250.0,6
210,Veggie Cravings,"",Chicken Meals,220.0,7
211,Veggie Cravings,"",Fish Curry Rice,50.0,7
212,Veggie Cravings,"",Fish Meals,150.0,7
213,Veggie Cravings,"",Chicken Meals,170.0,7
214,Veggie Cravings,"",Fish Curry Rice,80.0,7
215,Veggie Cravings,"",Fish Meals,200.0,7
216,Veggie Cravings,"",Egg Bhurji,190.0,7
217,Veggie Cravings,"",Ghee Rice,230.0,7
218,Veggie Cravings,"",Jeera Rice,20.0,7
219,Veggie Cravings,"",Curd Rice,20.0,7
220,Veggie Cravings,"",Boiled Rice,240.0,7
221,Veggie Cravings,"",Veg Fried Rice,140.0,7
222,Veggie Cravings,"",Paneer Fried Rice,160.0,7
223,Veggie Cravings,"",Mushroom Fried Rice,170.0,7
224,Veggie Cravings,"",Mixed Veg Fried Rice,30.0,7
225,Veggie Cravings,"",Egg Fried Rice,180.0,7
226,Veggie Cravings,"",Chicken Fried Rice,210.0,7
227,Veggie Cravings,"",Chicken Sukka,230.0,7
228,Veggie Cravings,"",Chicken Ghee Roast,140.0,7
229,Veggie Cravings,"",Chicken Uruwal,90.0,7
230,Veggie Cravings,"",Egg Chilly,90.0,7
231,Veggie Cravings,"",Egg Manchurian,140.0,7
232,Veggie Cravings,"",Egg 65,30.0,7
233,Veggie Cravings,"",Egg Ghee Roast,130.0,7
234,Veggie Cravings,"",Egg Masala Fry,90.0,7
235,Veggie Cravings,"","2 Boiled Egg",120.0,7
236,Veggie Cravings,"",Egg Lemon,70.0,7
237,Ramen Special,"",Spiced Paneer,120.0,8
238,Paella,"",Soya Masala,100.0,8
239,Ramen Special,"",Veggie Feast,170.0,8
240,Ramen Special,"",Double Cheese,20.0,8
241,Paella,"",Veg Exotica,250.0,8
242,Paella,"",Veggie Supreme,80.0,8
243,Paella,"",Veggie Italiano,60.0,8
244,Paella,"",Paneer Soya Supreme,30.0,8
245,Ramen Special,"",Margherita,140.0,8
246,Paella,"",Tandoori Paneer,180.0,8
247,Paella,"",Veggie Lover,70.0,8
248,Ramen Special,"",Country Feast,200.0,8
249,Paella,"",Paneer,90.0,8
250,Paella,"",Spice,90.0,8
251,Ramen Special,"",Veggie,60.0,8
252,Paella,"",Spicy Chicken,80.0,8
253,Ramen Special,"",Chicken Exotica,40.0,8
254,Ramen Special,"",Chicken Supreme,210.0,8
255,Paella,"",Chicken Italiano,140.0,8
256,Paella,"",Spiced Chicken Meatballs,170.0,8
257,Paella,"",Chickeroni (Chicken Pepperoni),30.0,8
258,Ramen Special,"",Lebanese Chicken,230.0,8
259,Paella,"",Smoked Chicken,160.0,8
260,Ramen Special,"",Chicken Tikka,250.0,8
261,Paella,"",Chicken Sausage,50.0,8
262,Ramen Special,"",Spanish Tomato Non Veg Pasta,40.0,8
263,Paella,"",Texas Garlic Dip,130.0,8
264,Ramen Special,"",Spanish Tomato Veg Pasta,230.0,8
265,Ramen Special,"",Garlic Bread Spicy Supreme,90.0,8
266,Ramen Special,"",Cheesy Garlic Bread Stix,200.0,8
267,Paella,"",Cheese Garlic Bread,70.0,8
268,Paella,"",Garlic Bread Stix,190.0,8
269,Paella,"",Spicy Baked Chicken Wings,210.0,8
270,Paella,"",Tandoori Pocket Paneer,230.0,8
271,Paella,"",Pepsi,80.0,8
272,Ramen Special,"",Mirinda,60.0,8
273,Paella,"","7-up",150.0,8
274,Ramen Special,"",Choco Truffle Cake,250.0,8
275,Ramen Special,"",Choco Volcano Cake,30.0,8
276,Waffles,"",Chicken 65,190.0,9
277,Waffles,"",Chicken Manchurian,20.0,9
278,Salted Cheese,"",Chicken Padak,120.0,9
279,Salted Cheese,"",Chicken Raja,40.0,9
280,Salted Cheese,"",Chilli Chicken,30.0,9
281,Waffles,"",French Chicken,140.0,9
282,STARTERS,"",Pudina Chicken,140.0,9
283,STARTERS,"",Boneless Pudina Chicken,210.0,9
284,Salted Cheese,"",Chicken Sholay Kebab,70.0,9
285,STARTERS,"",Garlic Chicken,240.0,9
286,STARTERS,"",Boneless Garlic Chicken,230.0,9
287,STARTERS,"",Lemon Chicken,90.0,9
288,Salted Cheese,"",Keema Ball,20.0,9
289,STARTERS,"",Keema Ball Dry,110.0,9
290,Salted Cheese,"",Egg Boti Fry,220.0,9
291,Waffles,"",Boti Fry,60.0,9
292,Salted Cheese,"",Keema Ball Fry,250.0,9
293,Waffles,"",Mutton Liver Fry,60.0,9
294,Salted Cheese,"",Jeera Rice,120.0,9
295,Waffles,"",White Rice,60.0,9
296,Waffles,"",Biryani Rice,90.0,9
297,STARTERS,"",Egg Biryani,240.0,9
298,Wraps,"",Aloo Paratha,210.0,10
299,Cake,"",Gobi Paratha,70.0,10
300,Cake,"",Mixed Veg Paratha,240.0,10
301,Cake,"",Paneer Paratha,80.0,10
302,Wraps,"",Cheese Paratha,20.0,10
303,Cake,"",Cheese Mixed Veg Paratha,230.0,10
304,Wraps,"",Cheese Aloo Paratha,40.0,10
305,Wraps,"",Cheese Gobi Paratha,250.0,10
306,Cake,"",Veg Sandwich,110.0,10
307,Wraps,"",Murukku Sandwich,200.0,10
308,Cake,"",Veg Grilled Sandwich,200.0,10
309,Cake,"",Chocolate Sandwich,210.0,10
310,Wraps,"",Corn Capsicum Sandwich,120.0,10
311,Cake,"",Cheese Veg Grilled Sandwich,70.0,10
312,Cake,"",Cheese Murukku Sandwich,50.0,10
313,Wraps,"",Cheese Corn capsicum Sandwich,150.0,10
314,Cake,"",Cheese Chocolate Sandwich,150.0,10
315,Wraps,"",Samosa [2 Pieces],90.0,10
316,Wraps,"",Jumbo Vada Pav [2 Pieces],60.0,10
317,Cake,"",Samosa Chaat,160.0,10
318,Wraps,"",Aloo Tikki Chaat,40.0,10
319,Wraps,"",Khaman Dhokla,40.0,10
320,Grain Bowls,"","2 Appam with Veg Stew",20.0,11
321,Grain Bowls,"","2 Appam with Kadla Curry",50.0,11
322,Grain Bowls,"","2 Appam with Chicken Curry",130.0,11
323,Grain Bowls,"","2 Puttu with Chicken Curry",230.0,11
324,Grain Bowls,"","2 Puttu with Fish Curry",160.0,11
325,Grain Bowls,"","2 Appam with Veg Stew",250.0,11
326,Grain Bowls,"","2 Appam with Kadla Curry",70.0,11
327,Grain Bowls,"","2 Ney Pathiri with Kadala Curry",80.0,11
328,Grain Bowls,"","2 Idli with Vada",100.0,11
329,Grain Bowls,"",Masala Dosa,30.0,11
330,Grain Bowls,"",Plain Dosa,100.0,11
331,Grain Bowls,"",Ghee Roast,200.0,11
332,Grain Bowls,"",Onion Uthappam,250.0,11
333,Grain Bowls,"",Onion Dosa,60.0,11
334,Grain Bowls,"",Set Dosa,100.0,11
335,Grain Bowls,"",Poori Masala,240.0,11
336,Grain Bowls,"","2 Paratha with Kadala Curry",80.0,11
337,Grain Bowls,"","3 Chapati with Kadala Curry",180.0,11
338,Grain Bowls,"","2 Appam with Chicken Curry",150.0,11
339,Grain Bowls,"","2 Puttu with Chicken Curry",100.0,11
340,Grain Bowls,"","2 Ney Pathiri with Chicken Curry",60.0,11
341,Grain Bowls,"","2 Paratha with Chicken Curry",210.0,11
342,Grain Bowls,"","3 Chapati with Chicken Curry",230.0,11
343,Grain Bowls,"","2 Appam with Fish Curry",100.0,11
344,Grain Bowls,"","2 Puttu with Fish Curry",130.0,11
345,Grain Bowls,"","2 Ney Pathiri with Fish Curry",130.0,11
346,Grain Bowls,"","2 Paratha with Fish Curry",180.0,11
347,Grain Bowls,"","3 Chapati with Fish Curry",40.0,11
348,Grain Bowls,"",Egg Omelette,120.0,11
349,Grain Bowls,"",Royal Falooda,160.0,11
350,Grain Bowls,"",Fresh Fruit Salad,20.0,11
351,Grain Bowls,"",Fruit in Ice Cream,210.0,11
352,Grain Bowls,"",Strawberry in Ice Cream,250.0,11
353,Grain Bowls,"",Gadbad,160.0,11
354,Grain Bowls,"",Vanilla Ice Cream,210.0,11
355,Grain Bowls,"",Strawberry Ice Cream,90.0,11
356,Grain Bowls,"",Pista Green Ice Cream,190.0,11
357,Grain Bowls,"",Butterscotch Ice Cream,110.0,11
358,Grain Bowls,"",Blackcurrant Ice Cream,140.0,11
359,Grain Bowls,"",Spice Buttermilk,70.0,11
360,Grain Bowls,"",Fresh Lemon Juice,40.0,11
361,Grain Bowls,"",Fresh Lemon Soda,40.0,11
362,Grain Bowls,"",Ginger Lemon Soda,140.0,11
363,Grain Bowls,"",Mint Lime Soda,20.0,11
364,Grain Bowls,"",Mosambi Juice,170.0,11
365,Grain Bowls,"",Pineapple Juice,250.0,11
366,Grain Bowls,"",Orange Juice,110.0,11
367,Grain Bowls,"",Mint Lime Juice,30.0,11
368,Grain Bowls,"",Strawberry Milkshake,20.0,11
369,Grain Bowls,"",Chocolate Milkshake,220.0,11
370,Grain Bowls,"",Vanilla Milkshake,200.0,11
371,Grain Bowls,"",Pista Milkshake,150.0,11
372,Grain Bowls,"",Butterscotch Milkshake,120.0,11
373,Food Options,"",Idly Vada,240.0,12
374,"Breakfast Sandwiches (6"")","",Ghee Rava Masala Dosa,150.0,12
375,Food Options,"",Butter Masala Dosa,70.0,12
376,Fancy,"",Ghee Podi Dosa,80.0,12
377,Fancy,"",Ghee Masala Dosa,220.0,12
378,Bowls,"",Onion Podi Uthappam,110.0,12
379,Lemon Slushy,"",Rava Onion Dosa,160.0,12
380,Lemon Slushy,"",Rava Onion Masala Dosa,80.0,12
381,Lemon Slushy,"",Rava Masala Dosa,50.0,12
382,Milk Teas,"",Ghee Dosa,250.0,12
383,"Breakfast Sandwiches (6"")","",Onion Dosa,70.0,12
384,Milk Teas,"",Onion Masala Dosa,110.0,12
385,Lemon Slushy,"",Podi Masala Dosa,170.0,12
386,Food Options,"",Paper Masala Roast Dosa,70.0,12
387,Bowls,"",Cheese Masala Dosa,60.0,12
388,Food Options,"",Idly Vada,230.0,12
389,"Breakfast Sandwiches (6"")","",Idly,230.0,12
390,Bowls,"",Sambhar Vada,80.0,12
391,Food Options,"",Medu Vada,140.0,12
392,Fancy,"",Sambhar Idly,200.0,12
393,Milk Teas,"",Kara Bath,40.0,12
394,Fancy,"",Chow Chow Bath,140.0,12
395,Lemon Slushy,"",Ghee Pongal,220.0,12
396,Fancy,"",Poori Masala,50.0,12
397,Bowls,"",Kesari Bath,40.0,12
398,Milk Teas,"",Plain Dosa,90.0,12
399,Food Options,"",Masala Dosa,200.0,12
400,"Breakfast Sandwiches (6"")","",Tomato Dosa,20.0,12
401,Milk Teas,"",Set Dosa,40.0,12
402,"Breakfast Sandwiches (6"")","",Ghee Rava Masala Dosa,180.0,12
403,Bowls,"",Butter Masala Dosa,170.0,12
404,Fancy,"",Butter Plain Dosa,110.0,12
405,Fancy,"",Ghee Podi Dosa,50.0,12
406,Bowls,"",Ghee Masala Dosa,130.0,12
407,Food Options,"",Plain Utappam,50.0,12
408,Food Options,"",Podi Uthappam,180.0,12
409,Food Options,"",Onion Podi Uthappam,160.0,12
410,Lemon Slushy,"",Rava Dosa,50.0,12
411,Fancy,"",Rava Onion Dosa,150.0,12
412,"Breakfast Sandwiches (6"")","",Rava Onion Masala Dosa,120.0,12
413,"Breakfast Sandwiches (6"")","",Rava Masala Dosa,70.0,12
414,Bowls,"",Ghee Rava Dosa,250.0,12
415,Lemon Slushy,"",Ghee Dosa,50.0,12
416,"Breakfast Sandwiches (6"")","",Onion Dosa,240.0,12
417,Bowls,"",Onion Masala Dosa,220.0,12
418,Bowls,"",Podi Dosa,170.0,12
419,Milk Teas,"",Podi Masala Dosa,150.0,12
420,Lemon Slushy,"",Paper Masala Roast Dosa,110.0,12
421,"Breakfast Sandwiches (6"")","",Paper Roast Dosa,20.0,12
422,Lemon Slushy,"",Cheese Plain Dosa,120.0,12
423,Lemon Slushy,"",Cheese Masala Dosa,140.0,12
424,"Breakfast Sandwiches (6"")","",Ragi Dosa,70.0,12
425,A FEW MORE ,"",Idiyappam,90.0,13
426,"6"" Hot Subs","",Appam,80.0,13
